FAMILY	SPECIES	DESCRIPTION
"Family COCHLIOPODIIDAE Taranek, 1882 "	"Chlamydamoeba CoLLIN, 1912, "	"373. p. lxxxviii [ C. tentaculifera; OD]. Gelatinous, easily de.formed test (diam., 30-60µ), generally rounded, covering even pseudopodia except at extremities; protoplasm consisting of opaque, hyaline band of ectoplasm surrounding granular, inclusion-1:-earing endoplasm; nucleus central; one con.tractile vacuole; pseudopodia absent entirely or short and blunt, may have central canals extend.ing from tips into central area, movement ex.tremely slow. [Marine.] Rec., Eu.--F1c. 3,3. ""C. tentaculifera, Fr.; Ja,b, varying forms showing thin test, differentiated endo-and ectoplasm and pseudopodia] extensions, X600 (""373). Gocevia VALKANov, 1932, *1972, p. 175, 187 [""G. pontica; OD]. Test highly flexible (diam., 25.30µ), covered with foreign matter, protoplasmic body tending to spread out over substratum, as in Cochliopodium; test somewhat loosely cover.ing protoplasm which is not differentiated into ecto-and endoplasm. [Marine.] Rec., Eu.--FIG. 3,2. ""G. pontica; 2a, diagram. sec.; 2b, ext.; 2c, sec.; approx. X2,000 (""1974).  "
"Family MICROCORYCIIDAE de Saedeleer, 1934 "	"Microcorycia CocKERELL, 1911, "	"*352, p. 137 [""Amphizonella fiava GREEFF, 1866, ""813, p. 329; OD] [=Corycie DuJARDIN, 1852, *637, p. 241 ( nom. neg.); =Corycia REuss, 1862, ""1552, p. 363 (non Corycia HUEBNER, 1823; nee HUEBNER, 1825; nee DuPONCHEL, 1829; nee BALY, 1864); Coryzia STEIN, 1867, *1836, p. 4 (nom. van.)]. Test yellowish, membranous, flexible, with ag.glutinated foreign matter (diam., 80-100µ), clear, hyaline, and fringelike at margins, attached to substratum or vegetal debris, hemispherical or ovoid, more rarely subglobular or free, with diaphanous margin infolded or closed, resulting in radial folds or ridges around apertural opening;   C20 Protista-Sarcodina   Gocevia   Fie. 3. Cochliopodiidae; 1, CocMiopodium; 2, Gocevia; 3, Chlamydamoeba (p. Cl9).  pseudopodia lobular or digitate; protoplasm not completely filling test; with 1 or 2 nuclei. [Fresh water.] Rec., Eu.--F1c. 4,J. ´M. f/ava (GREEFF); side view showing subglobular form with pendent membranous margin, X350 (""1435) .  "
"Family MICROCORYCIIDAE de Saedeleer, 1934 "	"Amphizonella GREEFF, 1866, "	"813, p. 323 [A . violacea; OD] . Test double, inner layer mem.branous or chitinoid, outer layer thick and mucilaginous (diam., approx. 0.16 mm.) ; proto.plasm dense, granular, violet in color; pseudo.podia blunt to subconical, radiating from aper.ture; single nucleus and clear vacuoles. [Fresh water.] Rec., Eu.--F1c. 4,2. ´.-1. violacea; speci.men showing subconical pseudopodia, approx.  "
"Family MICROCORYCIIDAE de Saedeleer, 1934 "	"Diplochlamys GREEFF, 1888, "	"0814, p. 104 [""D. leidyi; OD] . Test hemispherical or cup-shaped (diam., 80-100µ), double, inner layer consisting of hyaline membrane with variable aperture, ex.ternal covering of loosel y attached foreign matter; aperture large, nuclei numerous (as many as 100). [Fresh water.] Rec., Eu.--F1c. 4,3. ´D. leidyi; X400 (""302b).  "
"Family MICROCORYCIIDAE de Saedeleer, 1934 "	"Microchlamys CocKERELL, 1911, "	"0352, p. 136 [""Pseudoclilamys patella CLAPAREDE & LACHMANN, 1859, 0 345, p. 443 ; OD] [=PseudocMamys CLAPAREDE & LACHMAN N, 1859, ""345, p. 443) (non LACORDAIRE, 1848) (obj.)] . Test discoidal or cup-shaped (diam., 40-45µ), hyaline and flex.ible in young, rigid and brownish in adult, and may be punctate dorsally; pseudopodia short,   lobose; with central nucleus and several con.specimen with digitate pseudopod; 6b, top view;  tractile vacuoles. [Fresh water.] Rec., Eu.--FIG. x 500 (*300).  4,6. *M. patella (CLAPAREDE & LACHMANN); 6a, Parmulina PENARD, 1902, *1435, p. 206 [*P.   Microcorycio \ .\  Diplochlamys  3   Amphizonella   Zonomyxa   Microchlamys  6b    FIG. 4. Microcoryciidae; I, Microcorycia; 2, Amphizonella; 3, Diplochlamys; 4, Zonomyxa; 5, Parmulina; 6, Microchlamys; 7, Penardochlamys (p. Cl9-C22) .   C22 	Protista-Sarcodina  cyatlws PENARD, 1902; SD PENARD, 1909, *1439,  p. 286]. Test elongate, fusiform when viewed from above (length, 45-55µ), grayish to yellowish, thick and chitinoid, with some agglutinated for.eign matter producing rugose surface; lower sur.face with elongate slitlike area where test becomes thin and supple, internal envelope not seen; pseudopodia not seen; numerous contractile vacuoles, one nucleus (diam., approx. 8µ), some.what eccentric in position. [Fresh water.] Rec., S.Am.-Eu.--FrG. 4,5. *P. cyathus; 5a-c, top, side and basal views, approx. X700 (*1439).  "
"Family MICROCORYCIIDAE de Saedeleer, 1934 "	"Penardochlamys DEFLANDRE in GRASSE, 1953, "	"*810,  p. 126 [*PseudocMamys arcelloides PENARD, 1904, *1436, p. 408; OD(M)J. Test saclike (diam., 60-70µ), very thin, chitinoid, deformable, color.less or slightly yellowish, recurved at aperture; surface punctate, marked by broad undulations, changing slightly in form and place, test with single large opening at one end through which few large and lobate pseudopodia extend; proto.plasm grayish, enclosing 2 large nuclei with cen.tral nucleoli, and one or many contractile vacu.oles. [Fresh water.] Rec., Eu.--FIG. 4,7. *P. arcelloides (PENARD); 7a,b, side and bottom views, approx. X750; 7c, enlargement of margin shown in 7b (*1436).  "
"Family ARCELLIDAE Ehrenberg, 1832 "	"Arcelia EHRENBERG, 1832, "	"*664, p. 40 [*A. vul. garis: OD] [=Pyxidirnla EHRENBERG, 1834, *665,  p. 295 (type, Frustm!ia ope1""Culata AGARDH, 1827, *4, p. 627); =Arcellina CARTER, 1856, *286, p. 224, 247 ( nom. 1´an.): =Arcelia ( Sticholepis) EHRENBERG, 1872, *688, p. 244 (obj.); =Cyphi.di11111 EHRE""IBERG, 1837, *666, p. 172 (type, C.  aureolttm EHRENBERG, 1837); =Arcelia ( Cyphi.dium) EHRENBERG, 1872, *688, p. 245 (obj.); =Arce/la (Heterocosmia) EHRENBERG, 1872, *688, p. 245 (type, Arce/la (Heterocosmia) peri.sticta EHRENBERG, 1872 =A. peristicta EHREN.BERG, 1854, SD LoEHLICH & TAPPAN, herein); =Leptocystis PLAYFAIR, 1918, *1459, p. 641 (type, L. arcelloides PLAYFAIR, 1918); =Arce/la ( Euar.cella) DEFLANDRE, 1928, *569, p. 209 (obj.); =Arce/la ( Antarcella) DEFLANDRE, 1928, *569, p. 209 (type, Arce/la atava COLLIN, 1914, *374, p. 85; =Antarcella DEFLANDRE in GRASSE, 1953, *810, p. 127]. Test membranous, transparent, chitinoid, punctate or minutely cancellate, rarely spinose, hemispherical, recurved at circular to crenulate aperture (av. diam., 70µ), young tests hyaline, adult brown; protoplasm centrally placed, attached to interior of test by threads of ecto‡ plasm, may secrete gas vacuoles, to serve hydro.static function, allowing individual to float, and later resorb vacuoles in order to settle; pseudopodia few, lobose, blunt; commonly binucleate, but in some species as many as 200 nuclei occur; 4 or more small contractile vacuoles; reproduction by ""budding."" [Leptocystis PLAYFA!R was separated from Arcelia by its minute size (diam., 20µ) and absence of any surface markings. Only empty tests were seen. As young specimens of Arcelia show all these characters, Leptocystis appears to represent only the early growth stage or a small species of Arce/la. Antarcella was originally de.scribed as a subgenus, later raised to generic rank, differing in having a single nucleus, whereas Arce/la commonly had two, more rarely 3 to 40 or up to 200. Specimens with a single nucleus are rare, only one or two species being included, and as the number appears to vary even within a species, Antarcella is here regarded as synony.mous. Pyxidicula was originally described as a subgenus of the diatom genus Gallionella and the type-species was first described as a Frustrulia, later variously referred to Cymhella and Cyclotella. It differs from Arce/la only in being extremely small, in having a very wide aperture, a single nucleus and in lacking ornamentation, all features which may be characteristic of young Arcelia. The type-species is approximately 20µ in diam.eter, about the size of the smallest Arcelia vul.garis.] [Brackish to fresh water.] Pleist.-Rec., cosmop.--FIG. 5,J,2. *A. vulgaris, Rec., Eng.; la, young individual in movement; Jb,c, basal and side views of young, empty transparent tests,         "
"Family CENTROPYXIDAE Jung, 1942 "	"Centropyxis STEIN, 1859, "	"0 1835, p. 43 [""Arcelia aculeata EHRENBERG, 1832, 0 664, p. 40 ; OD) [=Echinopyxis CLAPAREDE & LACHMANN, 1859, 0 345 , p. 447 (obj.); Arcelia (Cen tropyxis) EHREN.BERG, 1872, 0688, p. 245 (obj.); = Millette/la RHUMBLER, 1904, 01569, p. 250 (type, Reophax pleurostomelloides MILLETT, 1899, 0 1284 (c), p. 253; Armillettum RHUMBLER, 1913, 0 1572(b), p. 349 (nom. van. pro Millette/la, obj.)]. Test chit.inoid, colorless to brown, with or without some agglutinated material, discoid, circular or oval (diam., 0.1 -0.4 mm.), may be ornamented with simple or bifid spines; aperture eccentric, circular or ovate; pseudopodia digitate. [Fresh water, but may be washed into shallow marine sediments.] Pleist.-Rec., cosmop.--F1c. 6,1-3. ´c. aculeata (EHRENBERG), Rec., Eng.; la,b, base and edge   4b 4a Fie. 6. Centropyxidae; 1-4, Centropyxis (p. C23-C24).  views, X300 ( 0 300); 2, specimen showing pseu.dopod (""1435); 3a,b, basal and edge views, X300 ( 0 957).--FIG. 6,4. C. pleurostomelloides (MIL.LETT), Rec., shallow marine sediments, Malay Arch.; 4a,b, basal and edge views, X 110 ( 0 1284c) .   "
"Family PLAGIOPYXIDAE Bonnet, 1959 "	"Bullinularia 	PENARD in GRASSE, 1953, "	"0 810, p. 127 [""Bulinella indica PENARD, 1907, 0 1438, p. 277; OD) [=Bulinella PENARD, 1907, 0 1438, p. 277 (obj.) (non FISCHER, 1898); Bullinula PENARD, 1911, ""1441, p. 225 (obj.) (non SOWERBY, 1839)). Test piano-to concavo-convex, elliptical as seen from above (diam., 0.16-0.2 mm.), composed of siliceous material in chitinoid cement, most finely granular near aperture; aperture eccentric elon.gate slit with smooth, depressed lower lip and overhanging, perforate upper lip (pore diam. 2-3µ) ; character of pseudopodia unknown. [Fresh water.] Rec., Eu.-N.Am.-N.Z.-Asia-Java.--F1c. 7,1-3. ´B. indica (PENARD), Netherlands; 1, basal view, X270 (""955); 2a,b, Brit. Isles; basal and end view, X200 (""302b); 3a, India, long. sec.    showing apertural overlap; 3b, outline of aper. ture with overhanging upper lip shown as heav y  line, lower lip as thin line (""1438). Hoogenraadia GAUTHIER-LIEVRE & THOMAS, 1958,  ´774, p. 352 [""H. africana; OD]. Test similar to Plagiopyxis but ovate to pyriform in outline (length, 95-150µ); wall of siliceous platelets in  ,-------::=:=-..  F ~  3b  I ' Li  3a  2b  Bullinularia  Plagiopyxis Oopyxis  60  6c  Hoogenraadia 6b   2b   lb 7a Silicoplocentino  Trigonopyxis  3b 4b  4o   Cyclopyxis  chitinoid cement; broad open aperture with lower Family TRIGONOPYXIDAE Loehlich & margin incurved and strongly overhanging upper  Tappan, n. faro.  margin; living animal not observed. Rec., Afr.  Test pseudochitinous, with added foreign  --FIG. 7,6. ´H. africana, middle Congo ; 6a-c,  matter, radially symmetrical as in Diffiugii. side, oblique, and apert. views, X345 (´774).   "
"Family PLAGIOPYXIDAE Bonnet, 1959 "	"Oopyxis JuNG, 1942, "	"*1005 , p. 294 [*0. copho.dae but with flattened or invaginated aper.stoma; OD J. Similar to Centropyxis but with tural margin, without external neck. Mio..much reduced aperture, and to Bullinularia but Rec.  without apertural overlap. [Fresh water.] Rec., Trigonopyxis PENARD, 1912, *1442, p. 9 [*Difflugia S.Am.--F1G. 7,4. ´o. cophostoma; basal view, arcula LEIDY, 1879, ´1127, p. 116; OD(M)] X 618 (* l 005) . [=Cystidina P. VoLz, 1929, *2023, p. 375 (obj.);   =Trigonopsis ScHEFFELT, 1920, *1642, p. 168 (nom. null.) (obj.) (non PERTY, 1833)]. Test hemispherical (diam. approx. 90µ,), consisting of parchment-like membrane with included foreign mineral and vegetable matter; aperture triangular or triradial, rarely quadrangular or irregular; pseu.dopodia unknown; nucleus large, spherical. Pleist.-Rec., N.Am.-S.Am.-Eu.-N.Z.-Java-Sumatra. --FIG. 8,1,2. *T. arcula (LEIDY), Rec.; la,b, Pa., basal, edge views; 2a,b, N.J., basal, edge views; X250 (*1127).   "
