"Family STEMONITIDAE Fries, 1829 "
"Family COCHLIOPODIIDAE Taranek, 1882 "
"Family MICROCORYCIIDAE de Saedeleer, 1934 "
"Family MICROCORYCIIDAE de Saedeleer, 1934 "
"Family MICROCORYCIIDAE de Saedeleer, 1934 "
"Family MICROCORYCIIDAE de Saedeleer, 1934 "
"Family MICROCORYCIIDAE de Saedeleer, 1934 "
"Family ARCELLIDAE Ehrenberg, 1832 "
"Family CENTROPYXIDAE Jung, 1942 "
"Family PLAGIOPYXIDAE Bonnet, 1959 "
"Family PLAGIOPYXIDAE Bonnet, 1959 "
"Family PLAGIOPYXIDAE Bonnet, 1959 "
"Family PLAGIOPYXIDAE Bonnet, 1959 "
"Family HYALOSPHENIIDAE Schulze, 1877 "
"Family HYALOSPHENIIDAE Schulze, 1877 "
"Family HYALOSPHENIIDAE Schulze, 1877 "
"Family HYALOSPHENIIDAE Schulze, 1877 "
"Family HYALOSPHENIIDAE Schulze, 1877 "
"Family HYALOSPHENIIDAE Schulze, 1877 "
"Family HYALOSPHENIIDAE Schulze, 1877 "
"Family HYALOSPHENIIDAE Schulze, 1877 "
"Family DIFFLUGIIDAE Wallich, 1864 "
"Family DIFFLUGIIDAE Wallich, 1864 "
"Family DIFFLUGIIDAE Wallich, 1864 "
"Family DIFFLUGIIDAE Wallich, 1864 "
"Family CRYPTODIFFLUGIIDAE Jung, 1942 "
"Family CRYPTODIFFLUGIIDAE Jung, 1942 "
"Family CRYPTODIFFLUGIIDAE Jung, 1942 "
"Family CRYPTODIFFLUGIIDAE Jung, 1942 "
"Family PHRYGANELLIDAE Jung, 1942 "
"Family PENARDIIDAE Loeblich & Tappan, 1961 "
"Family GROMIIDAE Reuss, 1862 "
"Family GROMIIDAE Reuss, 1862 "
"Family GROMIIDAE Reuss, 1862 "
"Family GROMIIDAE Reuss, 1862 "
"Family GROMIIDAE Reuss, 1862 "
"Family GROMIIDAE Reuss, 1862 "
"Family GROMIIDAE Reuss, 1862 "
"Family GROMIIDAE Reuss, 1862 "
"Family GROMIIDAE Reuss, 1862 "
"Family GROMIIDAE Reuss, 1862 "
"Family GROMIIDAE Reuss, 1862 "
"Family EUGLYPHIDAE Wallich, 1864 "
"Family EUGLYPHIDAE Wallich, 1864 "
"Family EUGLYPHIDAE Wallich, 1864 "
"Family EUGLYPHIDAE Wallich, 1864 "
"Family EUGLYPHIDAE Wallich, 1864 "
"Family EUGLYPHIDAE Wallich, 1864 "
"Family CYPHODERIIDAE de Saedeleer, 1934 "
"Family PAULINELLIDAE de Saedeleer, 1934 "
"Family LAGYNIDAE Schultze, 1854 "
"Family LAGYNIDAE Schultze, 1854 "
"Family LAGYNIDAE Schultze, 1854 "
"Family LAGYNIDAE Schultze, 1854 "
"Family LAGYNIDAE Schultze, 1854 "
"Family LAGYNIDAE Schultze, 1854 "
"Family LAGYNIDAE Schultze, 1854 "
"Family LAGYNIDAE Schultze, 1854 "
"Family LAGYNIDAE Schultze, 1854 "
"Family LAGYNIDAE Schultze, 1854 "
"Family LAGYNIDAE Schultze, 1854 "
"Family LAGYNIDAE Schultze, 1854 "
"Family ALLOGROMIIDAE Rhumbler, 1904 "
"Family ALLOGROMIIDAE Rhumbler, 1904 "
"Family ALLOGROMIIDAE Rhumbler, 1904 "
"Family ALLOGROMIIDAE Rhumbler, 1904 "
"Family ALLOGROMIIDAE Rhumbler, 1904 "
"Family ALLOGROMIIDAE Rhumbler, 1904 "
"Family ALLOGROMIIDAE Rhumbler, 1904 "
"Family ALLOGROMIIDAE Rhumbler, 1904 "
"Family ALLOGROMIIDAE Rhumbler, 1904 "
"Family ALLOGROMIIDAE Rhumbler, 1904 "
"Family ALLOGROMIIDAE Rhumbler, 1904 "
"Family ALLOGROMIIDAE Rhumbler, 1904 "
"Family ALLOGROMIIDAE Rhumbler, 1904 "
"Family ALLOGROMIIDAE Rhumbler, 1904 "
"Family ALLOGROMIIDAE Rhumbler, 1904 "
"Family ALLOGROMIIDAE Rhumbler, 1904 "
"Family ALLOGROMIIDAE Rhumbler, 1904 "
"Family ALLOGROMIIDAE Rhumbler, 1904 "
"Family ALLOGROMIIDAE Rhumbler, 1904 "
"Family ALLOGROMIIDAE Rhumbler, 1904 "
"Family ALLOGROMIIDAE Rhumbler, 1904 "
"Family ALLOGROMIIDAE Rhumbler, 1904 "
"Family ALLOGROMIIDAE Rhumbler, 1904 "
"Family ALLOGROMIIDAE Rhumbler, 1904 "
"Family ASTRORHIZIDAE Brady, 1881 "
"Family ASTRORHIZIDAE Brady, 1881 "
"Family ASTRORHIZIDAE Brady, 1881 "
"Family ASTRORHIZIDAE Brady, 1881 "
"Family ASTRORHIZIDAE Brady, 1881 "
"Family ASTRORHIZIDAE Brady, 1881 "
"Family ASTRORHIZIDAE Brady, 1881 "
"Family ASTRORHIZIDAE Brady, 1881 "
"Family ASTRORHIZIDAE Brady, 1881 "
"Family ASTRORHIZIDAE Brady, 1881 "
"Family ASTRORHIZIDAE Brady, 1881 "
"Family ASTRORHIZIDAE Brady, 1881 "
"Family SCHIZAMMINIDAE N~rvang, 1961 "
"Family SACCAMMINIDAE Brady, 1884 "
"Family SACCAMMINIDAE Brady, 1884 "
"Family SACCAMMINIDAE Brady, 1884 "
"Family SACCAMMINIDAE Brady, 1884 "
"Family SACCAMMINIDAE Brady, 1884 "
"Family SACCAMMINIDAE Brady, 1884 "
"Family SACCAMMINIDAE Brady, 1884 "
"Family SACCAMMINIDAE Brady, 1884 "
"Family SACCAMMINIDAE Brady, 1884 "
"Family SACCAMMINIDAE Brady, 1884 "
"Family SACCAMMINIDAE Brady, 1884 "
"Family SACCAMMINIDAE Brady, 1884 "
"Family SACCAMMINIDAE Brady, 1884 "
"Family SACCAMMINIDAE Brady, 1884 "
"Family SACCAMMINIDAE Brady, 1884 "
"Family SACCAMMINIDAE Brady, 1884 "
"Family SACCAMMINIDAE Brady, 1884 "
"Family SACCAMMINIDAE Brady, 1884 "
"Family SACCAMMINIDAE Brady, 1884 "
"Family SACCAMMINIDAE Brady, 1884 "
"Family SACCAMMINIDAE Brady, 1884 "
"Family SACCAMMINIDAE Brady, 1884 "
"Family SACCAMMINIDAE Brady, 1884 "
"Family SACCAMMINIDAE Brady, 1884 "
"Family SACCAMMINIDAE Brady, 1884 "
"Family SACCAMMINIDAE Brady, 1884 "
"Family SACCAMMINIDAE Brady, 1884 "
"Family SACCAMMINIDAE Brady, 1884 "
"Family SACCAMMINIDAE Brady, 1884 "
"Family AMMODISCIDAE Reuss, 1862 "
"Family AMMODISCIDAE Reuss, 1862 "
"Family AMMODISCIDAE Reuss, 1862 "
"Family AMMODISCIDAE Reuss, 1862 "
"Family AMMODISCIDAE Reuss, 1862 "
"Family AMMODISCIDAE Reuss, 1862 "
"Family AMMODISCIDAE Reuss, 1862 "
